Designator,Mid X,Mid Y,Rotation,Layer
C1,89.2,-125.6,180.0,bottom
C2,92.8,-125.6,180.0,bottom
C3,88.5,-136.6,180.0,bottom
C4,93.6,-143.6,180.0,bottom
D1,91.0,-132.4,0.0,top
D2,89.2,-122.5,180.0,bottom
D3,92.8,-122.5,180.0,bottom
J1,91.0,-52.54,180.0,top
J2,91.0,-66.04,180.0,top
J3,91.0,-79.54,180.0,top
J4,91.0,-93.04,180.0,top
J5,92.15,-139.11,0.0,top
J6,91.0,-108.5,0.0,bottom
R1,91.0,-50.0,180.0,bottom
R10,88.5,-143.6,180.0,bottom
R2,91.0,-63.5,180.0,bottom
R3,91.0,-77.0,180.0,bottom
R4,91.0,-90.5,180.0,bottom
R5,91.0,-53.0,180.0,bottom
R6,91.0,-66.5,180.0,bottom
R7,91.0,-80.0,180.0,bottom
R8,91.0,-93.5,0.0,bottom
R9,89.1,-132.4,90.0,bottom
RV1,91.0,-124.775,0.0,top
U1,91.0,-140.1,270.0,bottom
