Designator,Mid X,Mid Y,Rotation,Layer
C1,96.5,-81.5,180.0,bottom
C2,100.5,-81.5,180.0,bottom
C3,97.0,-83.5,180.0,bottom
C4,100.0,-83.5,180.0,bottom
C5,97.0,-85.0,180.0,bottom
C6,100.0,-92.0,180.0,bottom
C7,97.0,-98.0,180.0,bottom
C8,100.0,-105.0,180.0,bottom
D1,96.5,-79.5,180.0,bottom
D2,100.5,-79.5,180.0,bottom
J1,98.5,-71.5,0.0,top
J12,101.5,-60.5,0.0,bottom
J13,95.5,-60.5,0.0,bottom
J14,95.5,-117.27,0.0,bottom
J15,101.5,-117.27,0.0,bottom
R11,100.0,-93.5,180.0,bottom
R12,100.0,-85.0,0.0,bottom
R13,97.5,-108.0,270.0,bottom
R14,99.5,-108.0,270.0,bottom
U1,98.5,-88.5,270.0,bottom
U2,98.5,-101.5,270.0,bottom
