Designator,Mid X,Mid Y,Rotation,Layer
D3,86.5,-118.0,270.0,top
J10,89.5,-117.27,0.0,bottom
J11,83.5,-117.27,0.0,bottom
J2,86.5,-55.04,180.0,top
J3,86.5,-68.54,180.0,top
J4,86.5,-82.04,180.0,top
J5,86.5,-95.54,180.0,top
J6,86.5,-109.04,180.0,top
J7,86.5,-140.96,0.0,top
J8,83.5,-60.5,0.0,bottom
J9,89.5,-60.5,0.0,bottom
R1,86.5,-52.5,0.0,bottom
R10,86.5,-108.5,0.0,bottom
R2,86.5,-66.0,0.0,bottom
R3,86.5,-79.5,0.0,bottom
R4,86.5,-93.0,0.0,bottom
R5,86.5,-106.5,0.0,bottom
R6,86.5,-54.5,0.0,bottom
R7,86.5,-68.0,0.0,bottom
R8,86.5,-81.5,0.0,bottom
R9,86.5,-95.0,0.0,bottom
RV1,86.5,-128.875,0.0,top
